code,product_name,brands,countries,quantity,categories,labels,nutriscore_grade,ecoscore_grade,nova_group,ingredients_text,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
8714100536209,Horseradish Sauce,Colman's,"France, Germany, Spain, en:united-kingdom",136g,"Condiments, Sauces, Dips",,c,unknown,4.0,"spirit vinegar, horseradish (33%), turnip, rapeseed oil, water, sugar, glucose-fructose syrup, flavourings, salt, free range british egg yolk powder (0,6%), thickener (xanthan gum), mustard flour, dextrose, antioxidant (sodium metabisulphite),",105.0,6.5,0.6,8.6,6.8,,1.3,1.3,0.52
8714100769362,Knorr Soupe Liquide Mouliné de Légumes Variés 1L,Knorr,"France, en:luxembourg",1000 ml,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Meals, Soups, Cream soups, Reheatable soups, Vegetable soups, Cream of vegetable soups","Vegetarian, No preservatives, European Vegetarian Union, FSC, Green Dot, Made in France, No colorings, No flavour enhancer, Nutriscore, Nutriscore Grade B, Triman",c,a,4.0,"water, potato1: 16%, carrot1: 13%, ceer-rave1: 8,5%, onion1: 3,2%, leek1: 2,8%, broccoli1: 2,4%, green bean1: 2,4%, crème fraîche, modified corn starch, salt, sunflower oil, yeast extract, whey (lait), may contain: gluten, mustard, egg, soy, 1lurate from sustainable agriculture, vegetable content1: 48,3%,",26.0,0.5,0.2,4.0,1.3,1.0,0.8,0.67,0.268
8722700166641,KNORR Soupe Liquide Poule Vermicelles 1L,Knorr,France,1000 ml,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Plats préparés,Produits déshydratés,Produits lyophilisés à reconstituer,Soupes,Plats préparés déshydratés,Soupes à réchauffer,Soupes de légumes,Soupes déshydratées,Soupe à la volaille et aux légumes déshydratée,Soupes à la volaille et aux vermicelles","No preservatives, Sustainable farming, FSC, Green Dot, No colorings, Nutriscore, Triman, en:nutriscore-grade-b",unknown,a-plus,4.0,"Eau, vermicelle cuit : 12% (semoule de BLÉ dur, blanc d'ŒUF), viande de poule : 3%, carotte¹ : 1,4%, oignon¹ : 1,4%, CÉLERI-RAVE¹ : 1%, amidon modifié de maïs, poireau¹ : 0,9%, graisse de poule : 0,7%, arômes, amidon de pomme de terre, sel, épices et aromates (cerfeuil¹, persil¹ : 0,03%, poivre, curcuma¹), jus de carotte concentré : 0,02%, jus de citron concentré. Peut contenir : autres céréales contenant du gluten, lait, moutarde, soja. ¹Ingrédients issus de l'agriculture durable : 4,8%.",27.0,0.9,0.3,3.2,0.5,0.5,1.4,0.64,0.256
9002515425188,Pago ananas,Pago,France,75 cl,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-nectars, aliments-et-boissons-à-base-de-végétaux, fr:boissons, fr:boissons-aux-fruits, boissons-à-base-de-végétaux, fr:jus-de-fruits, fr:jus-et-nectars, en:fruit-juices",,d,e,4.0,"Jus d'ananas à base de concentré, eau, sucre, jus de citron à base de concentré, stabilisant : pectine, antioxydant : acide ascorbique.",46.0,0.5,0.1,11.0,11.0,,0.5,0.0,0.0
9555609301016,Hi Goat - Goat's Milk Powder,HR Manufacturing,"France, en:united-states",21 g,"Produits laitiers, Laits",,c,d,,"Goat's Milk, Food Conditioner.",504.0,26.0,1.0,60.0,0.0,,11.0,0.0,0.0
6111242680333,Arroz cigala,,Morocco,1000,en:rices,,b,f,,,353.0,1.0,0.1,78.6,0.1,,6.0,0.16,0.064
3036811460273,Velouté de poireaux pommes de terre,Liebig,Frankreich,75 cl,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Conserves, Plats préparés, Soupes, Veloutés, Soupes de légumes, Plats préparés en conserve, Veloutés de légumes, Soupes en conserve, Soupes de légumes en conserve, Veloutés de poireaux","Vegetarian, No preservatives, Source of fibre, No colorings, No flavour enhancer, en:european-vegetarian-union",b,a-plus,3.0,"water, leek 37%, potato 17%, onion, spinach, salt, fresh cream, cooking butter, rapeseed oil, wine vinegar",34.0,1.4,0.5,3.8,1.1,1.1,1.0,0.65,0.26
00204392,6 plain Folded Flatbreads,By Sainsbury's,"France,Royaume-Uni",,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Flatbreads, White breads, Wheat breads, Wheat flatbreads",en:vegan,c,b,4.0,"Fortified British Wheat Flour (Wheat Flour, Calcium Carbonate, Niacin, Iron, Thiamin), Water, Rapeseed Oil, Yeast, Spirit Vinegar, Raising Agents: Disodium Diphosphate, Sodium Hydrogen Carbonate, Calcium Phosphate; Salt, Preservative: Calcium Propionate; Wheat Starch.",233.0,3.33,1.11,41.6,6.67,10.0,7.56,1.92,0.769
8711200428953,Pindakaas,Calvé,"Frankrijk,Nederland",350 gram,"Plantaardige levensmiddelen en dranken,Plantaardige levensmiddelen,Bonen- en afgeleide producten,Smeerbare producten,Noten en -producten,Plantaardige smeerbare producten,Puree van oliehoudende zaden,Peulvruchtenpastas,Notenpasta's,Pindakazen",,b,d,3.0,"PINDA 85%, plantaardige olie (raapzaad, soja, volledig geharde palm), zout,",664.0,58.0,8.2,11.0,5.9,6.6,21.0,0.54,0.216
3329770062740,Crème fluide à 30% de matières grasses.,"Cfr fleurette, Yoplait",France,380 ml,"Produits laitiers, Crèmes, Crèmes liquides, Crèmes entières, Crèmes fleurettes",Fabriqué en France,d,a,4.0,"CREME stérilisée - Emulsifiant : Esters LACTIQUES des mono et diglycérides d'acides gras - Epaississants : Gomme xanthane, Carraghénanes. LAIT D'ORIGINE FRANCE",302.0,31.0,20.9,3.3,3.3,,2.3,0.11,0.044
